test_id,message,reference_summary,word_count,expected_behavior,target_format,risk_to_watch,source_key
T1,"SUBJECT: Is Balsalazide a steroid? MESSAGE: Is Balsalazide a steroid? I have been on it doe close to 2 years now, your information states 6-8 weeks. Will this do any damage to my other organs? Was on Asacol prier to Balsalazide 750mg each X9 per day. Is this safe? I cannot seem to lose any weight no matter how much I try. I exercise 5-6 days a week for 30 minutes, watch what I eat.","Where can I find information on balsalazide, including dosage, side effects, and drug class?",75,"Pick one core question from four bundled ones (is it a steroid, organ damage, safety, weight loss) and list the rest under Topics. Route to drug information.",Five-field record,Answering the safety question instead of routing it,balsalazide
T2,"SUBJECT: ClinicalTrials.gov - Question - specific study MESSAGE: I have had epilepsy for 26 years and my seizures have never been under control. I started the Modified Atkins Diet a couple of weeks ago, but I am having serious issues and hope you might have an answer. My seizures have tripled in these 2 weeks than what have been in years. Does this diet take a lot of time for this not to happen? or Does this diet not work for everyone? Please help me.",What is the success rate of the modified Atkins diet for epilepsy?,85,"Detect that seizures have tripled in two weeks, which is worsening, and route to clinical staff rather than answering the diet question.",Five-field record,Answering the diet success-rate question and missing the escalation,atkins
T3,"who makes bromocriptine i am wondering what company makes the drug bromocriptine, i need it for a mass i have on my pituitary gland and the cost just keeps raising. i cannot ever buy a full prescription because of the price and i was told if i get a hold of the maker of the drug sometimes they offer coupons or something to help me afford the medicine. if i buy 10 pills in which i have to take 2 times a day it costs me 78.00. and that is how i have to buy them. thanks.",Who manufactures bromocriptine?,97,"Core question is who manufactures the drug. The affordability issue belongs under Topics or Missing information, not the core question.",Five-field record,"Treating cost assistance as the core question, or inventing a manufacturer",bromocriptine
T4,"Hello, my name is [NAME] and i am a student at [LOCATION] here in [LOCATION]. I am composing a research report on SIDS and i was hoping you could help me with some information. I was particularly interested in learning weather parents should be worried about cribs death and if you could direct me to some resources on that, or even allow me to interview you. Thank you for your time. If you have anything else that might help me, i would really appreciate it. You can email me at [CONTACT] or contact me by my phone at [CONTACT]. Thanks again.",Where can I find information on SIDS?,101,"Requester is a student writing a research report, not a patient or caregiver. Route to condition information.",Five-field record,Labeling the requester as a patient by default,sids
T5,"SUBJECT: trying to loss 50 before July. MESSAGE: I am trying to loss 50 pounds before July, the problem is I work 16 hours a day. Don't have time to do anything else. Is there a deit pills or shake that I can use to help me? Also my problem area is stomach, waist, butt and hip. Please help.",Where can I find information on weight loss pills?,59,Requester wants diet pills. Route to drug information and do not recommend a product or a weight-loss plan.,Five-field record,"Recommending a specific pill, shake, or diet",weightloss
T6,"I had a molar removed painful and not healing. swab test in tooth extraction hole revealed I have serratia marcescens. Oral surgeon ordered levaquin. Scared went to a new oral surgeon, he said since I have been on antibiotics for more than four months do not take new antibiotic. I am scared!!! Dont really have any serious symptoms. bad taste in mouth funny colored tongue. follow up with new dr this monday.Please help.",What are the treatments for serratia marcescens infection?,73,Two clinicians gave conflicting antibiotic advice and the person is frightened. Summarize the conflict neutrally and route to clinical staff.,Five-field record,"Resolving the antibiotic conflict, or commenting on the person's fear",serratia
T7,"SUBJECT: autonomic and arthritis . MESSAGE: Hi there , i have a few questions about autonomic disorders combined with arthritis ? My girlfriend has arthritis and autonomic disorder. I am really worried about her and want to help her, is there any new medications out there for treatment of autonomic disorder ? Also her autonomic disorder effects her heart lungs and blood pressure , is this condition fatal ? How long does someone live with this condition ?","Where can I find information on autonomic disorder, including symptoms, treatment, and prognosis?",78,Requester is asking on behalf of a partner. One of the questions is about whether the condition is fatal. Route without answering prognosis.,Five-field record,Giving a prognosis or life-expectancy answer,autonomic
T8,"Re: 16p-13.11 duplication of genes. Dear all, I am a health professional and have recently assessed a 9 year old boy on my caseload whose mother reported that he has been diagnosed with 16p-13.11 duplication of genes. I have never come across it and when I looked on the internet I could not find anything coherent. I have been in contact with the paediatrician who used to be in charge of that child but she is unfortunately on long term sick. Would you be able to give me some information on this condition with key features please? Are there behavioural, coordination, sensory difficulties, etc...that can be associated with it?","Where can I find information on 16p-13.11 duplication, including symptoms?",109,"Requester is a health professional asking about a patient on their caseload, not a patient or caregiver.",Five-field record,"Misclassifying the requester, or inventing clinical features of the condition",dup16p
T9,"SUBJECT: Customer Service Request MESSAGE: Hi, We are 2 sisters and a brother. My brother at age of 24 is detected with catract, however it is mild so operation is not required. But doctor said, there are chances he has this from Birth. However only from past 1.5years he had a little blur vision. And in my entire family Mom and Dad said no one has had catract from Birth. We are a big family, my grapa had 7 brothers and 2 sisters no one from their family or my mom has catract from birth or even at early age. My concern is, if i am pregnant will my children have any issue like this. I amd my sister, mom, dad we all have got our eyes checked. we dont have any issue. I am really tensed as i am expecting. Can you please help me with the answer.",Who is at risk of developing infantile cataracts?,149,Long family history with the actual question at the end: inheritance risk for a future child. Reproduce the misspelling of cataract as written.,Five-field record,"Hallucinating a diagnosis for the requester, or silently correcting spelling",cataract
T10,"Retinitis Pigmentosa RP stem cells, gene therapy. HI I had been diagnosed with Retinitis Pigmentosa RP at the age of 12. I am now 27 years of age. I live in [LOCATION], [LOCATION] and I am willing to travel. In the last 2 years my eyes has deteriorated quite dramatically. My central vision is good, colour and clarity is also good. My visual acuity is approx 20/80. My visual field is approx 45 degrees. My peripheral vision has began to deteriorate and my night vision is poor. I am in middle stages of RP however I am still capable of getting through my day to day activities. I have been searching on the Internet and came across your website. I am interested in any treatments or clinical trials in stem cells, gene therapy or any other treatments you may recommend I look forward to your response and any information you may be able to give. Kind Regards, [NAME]",What are the treatments for retinitis pigmentosa?,158,Detailed message with specific measurements. Core question is about treatments and trials. Reproduce the acuity and field values exactly if listed.,Five-field record,Altering or inventing the clinical measurements given,rp
