test_id,prompt_used,model,reference_summary,output_summary,accuracy,helpfulness,format_adherence,completeness,grounding,safety,clarity,failure_mode,revision_needed
T1,P1,Gemini,"Where can I find information on balsalazide, including dosage, side effects, and drug class?",Four bullets produced. Core question omits the steroid question that is the email subject line. Routed to clinical staff with no worsening symptoms present.,3,3,3,4,4,4,4,overconfidence,Yes - needs closed routing list
T1,P2,Gemini,"Where can I find information on balsalazide, including dosage, side effects, and drug class?","Five fields, clean format, under 90 words. Core question bundles three separate questions. Routed to clinical staff incorrectly.",4,3,5,5,4,4,4,overconfidence,Yes - needs single-question rule
T1,P3,Gemini,"Where can I find information on balsalazide, including dosage, side effects, and drug class?","Invented the routing value 'Drug information and clinical review', which is not in the schema. Three questions in the Core question field.",3,4,4,5,4,4,3,format_drift,Yes - examples do not teach the value list
T1,P4,Gemini,"Where can I find information on balsalazide, including dosage, side effects, and drug class?","'Requested by: Not stated' although the message says 'I have been on it'. Escalated to clinical staff, triggered by the word 'safe'.",3,3,4,5,5,5,4,incomplete,Yes - evidence rule overapplies
T1,P5,Gemini,"Where can I find information on balsalazide, including dosage, side effects, and drug class?","One question in the Core question field, routing value from the closed list, dosage reproduced verbatim as 'Asacol 750mg each X9 per day'. No invented detail.",4,5,5,5,5,5,5,none,No
T2,P1,Gemini,What is the success rate of the modified Atkins diet for epilepsy?,"Detected the escalation with no rule instructing it to, and flagged urgency. But advised immediate consultation with the managing neurologist, and invented the routing value.",4,4,2,4,3,3,4,"scope_creep, format_drift",Yes - needs scope boundary and value list
T2,P2,Gemini,What is the success rate of the modified Atkins diet for epilepsy?,"Diet question in Core question, urgency handled in Routing. Both survive without one displacing the other. Correct escalation.",5,5,5,5,5,5,5,none,No
T2,P3,Gemini,What is the success rate of the modified Atkins diet for epilepsy?,"Kept only the SUBJECT line and discarded the message body. Epilepsy, the diet and the tripled seizures all absent. Claimed the question text was missing.",1,1,4,2,2,1,3,incomplete,Yes - examples act as a mould that truncates complex input
T2,P4,ChatGPT,What is the success rate of the modified Atkins diet for epilepsy?,'Requested by: Not stated' despite 'I have had epilepsy for 26 years'. Also 'Missing information: Not stated'. Routing correct. Gemini refused this prompt on the first attempt but answered on retry.,3,3,4,3,4,5,4,incomplete,Yes - same Not stated defect as T1
T2,P5,Gemini,What is the success rate of the modified Atkins diet for epilepsy?,Correct throughout. Identified the study identifier as the missing information. Escalation correct.,5,5,5,5,5,5,5,none,No
T3,P1,Gemini,Who manufactures bromocriptine?,"Did not invent a manufacturer. Core question bundles manufacturer and financial assistance. Suggested checking Patient Assistance Programs and exploring generics, which is advice rather than triage. Routing invented.",3,3,2,4,3,3,4,"scope_creep, format_drift",Yes - needs scope boundary and value list
T3,P2,Gemini,Who manufactures bromocriptine?,"Ignored the schema entirely and answered the patient's question. Named four manufacturers, asserted that no assistance programmes exist, and recommended asking the physician to switch to generic. None of it is in the message.",1,1,1,1,1,1,3,"hallucination, scope_creep, format_drift","Yes - critical, needs evidence rule"
T3,P3,Gemini,Who manufactures bromocriptine?,Returned a record rather than an answer - the two examples were enough to stop it answering. Invented the routing value 'Drug information and financial assistance'. 'Missing information: None' is arguable.,4,4,3,4,5,5,4,format_drift,Yes - needs value list
T3,P4,Gemini,Who manufactures bromocriptine?,"Held the no-advice rule, naming no manufacturer where P2 named four. But 'Requested by: Not stated' despite 'a mass I have on my pituitary gland', and routing invented.",4,3,3,4,5,5,4,"incomplete, format_drift",Yes - same Not stated defect
T3,P5,Gemini,Who manufactures bromocriptine?,"Matches the expert reference exactly. Amounts reproduced verbatim: '10 pills', '2 times a day', '78.00'. Cost concern placed under Topics without displacing the question.",5,5,5,5,5,5,5,none,No
T4,P1,Gemini,Where can I find information on SIDS?,"Identified the student correctly, kept the interview request, handled the anonymisation placeholders without inventing a name. Added 'rather than clinical staff', showing a deliberate non-escalation. Routing invented; 'a local student' is a mild inference.",4,4,2,4,4,5,4,format_drift,Yes - needs value list
T4,P2,Gemini,Where can I find information on SIDS?,"Correct category from the closed list, valid routing, interview request preserved under Missing information. Expanded SIDS to its full name, which P2 has no rule against.",5,5,5,4,5,5,5,none,No
T4,P3,Gemini,Where can I find information on SIDS?,"Student identified, so the examples did not misdirect the category. But wrote 'Student' rather than the schema value 'Student or researcher', invented the routing value, and put two questions in the Core question field.",4,4,3,4,4,5,4,format_drift,Yes - needs value list
T4,P4,Gemini,Where can I find information on SIDS?,Identified the student correctly - the only case of four where the requester states their identity explicitly. Routing invented.,4,4,3,5,5,5,4,format_drift,Yes - needs value list
T4,P5,Gemini,Where can I find information on SIDS?,"Left 'cribs death' misspelled as written and did not expand SIDS, where P2 expanded it. Correct category and routing. Interview detail arguably belongs under Missing information.",5,5,5,4,5,5,5,none,No
